Stock,First_Close,Last_Close,Yearly_Return_%
INDUSINDBK,1432.6,998.2,-30.32
ASIANPAINT,2934.55,2472.2,-15.76
BAJFINANCE,7471.9,6683.95,-10.55
NESTLEIND,2387.27,2247.3,-5.86
HINDUNILVR,2472.25,2445.25,-1.09
ADANIENT,2217.3,2228.0,0.48
BAJAJFINSV,1572.85,1600.85,1.78
KOTAKBANK,1724.4,1761.45,2.15
TITAN,3173.4,3308.7,4.26
TATACONSUM,892.06,945.2,5.96
