Rank,Stock,Volatility,Volatility_%
1,ADANIENT,0.029218,2.92
2,ADANIPORTS,0.026583,2.66
3,BEL,0.023817,2.38
4,TRENT,0.023491,2.35
5,ONGC,0.02292,2.29
6,BPCL,0.022545,2.25
7,COALINDIA,0.021675,2.17
8,SHRIRAMFIN,0.021491,2.15
9,HINDALCO,0.020056,2.01
10,NTPC,0.019898,1.99
