Month,Stock,First_Close,Last_Close,Trading_Days,Monthly_Return
2023-11,TRENT,2197.65,2787.0,21,26.817282096785195
2023-11,HEROMOTOCO,3092.45,3819.05,21,23.495933644844715
2023-11,BPCL,178.45,217.85,21,22.07901372933595
2023-11,EICHERMOT,3282.25,3896.9,21,18.72648335745297
2023-11,APOLLOHOSP,4796.55,5528.95,21,15.269308148565106
2023-12,BEL,147.45,184.2,20,24.923702950152595
2023-12,ADANIPORTS,827.8,1024.35,20,23.74365788837883
2023-12,ADANIENT,2362.7,2848.95,20,20.580268337071995
2023-12,HINDALCO,517.2,614.85,20,18.88051044083526
2023-12,ULTRACEMCO,9033.85,10503.0,20,16.262722980788915
2024-01,ONGC,205.35,252.25,22,22.83905527148771
2024-01,SHRIRAMFIN,2048.85,2466.8,22,20.399248358835457
2024-01,BHARTIARTL,1013.05,1170.7,22,15.56191698336707
2024-01,ADANIPORTS,1047.85,1207.65,22,15.250274371331793
2024-01,BAJAJ-AUTO,6701.1,7667.55,22,14.422259032099205
2024-02,TRENT,3102.8,3881.8,21,25.10635554982596
2024-02,BPCL,254.23,301.93,21,18.762537859418643
2024-02,M&M,1651.15,1932.4,21,17.03358265451352
2024-02,SBIN,647.65,748.1,21,15.509920481741691
2024-02,SUNPHARMA,1407.95,1577.95,21,12.074292410952093
2024-03,BAJAJ-AUTO,8040.05,9148.15,19,13.782252597931599
2024-03,BAJFINANCE,6571.45,7245.25,19,10.253444825723397
2024-03,BHARTIARTL,1128.7,1228.6,19,8.85089040489057
2024-03,MARUTI,11620.95,12600.35,19,8.427882402041137
2024-03,HINDALCO,519.1,560.25,19,7.92718166056636
2024-04,EICHERMOT,3946.65,4597.4,20,16.488667604170615
2024-04,TRENT,3886.8,4409.9,20,13.458371925491392
2024-04,HINDALCO,568.6,644.4,20,13.33098839254308
2024-04,M&M,1915.95,2156.35,20,12.547300294892866
2024-04,BEL,211.1,233.75,20,10.72951207958314
2024-05,BEL,234.75,295.95,22,26.0702875399361
2024-05,M&M,2185.15,2506.25,22,14.69464338832574
2024-05,HEROMOTOCO,4561.5,5119.6,22,12.235010413241266
2024-05,ADANIENT,3039.6,3411.35,22,12.230227661534412
2024-05,BRITANNIA,4759.65,5179.8,22,8.827329740632202
2024-06,TRENT,4662.2,5479.85,19,17.5378576637639
2024-06,SHRIRAMFIN,2509.15,2911.5,19,16.035310762608848
2024-06,WIPRO,444.1,514.85,19,15.931096599864894
2024-06,TECHM,1245.35,1430.35,19,14.855261573051754
2024-06,GRASIM,2368.8,2670.45,19,12.734295845997956
2024-07,ONGC,272.95,334.2,22,22.44000732734933
2024-07,HDFCLIFE,600.75,715.5,22,19.101123595505616
2024-07,INFY,1590.8,1868.25,22,17.44091023384461
2024-07,SBILIFE,1501.85,1753.65,22,16.765988614042694
2024-07,ITC,429.05,495.35,22,15.452744435380495
2024-08,TRENT,5770.8,7158.75,21,24.051258057808273
2024-08,BAJAJ-AUTO,9730.5,10891.55,21,11.932069266738598
2024-08,BAJAJFINSV,1634.8,1783.05,21,9.068387570344996
2024-08,SHRIRAMFIN,2989.25,3204.5,21,7.20080287697583
2024-08,CIPLA,1546.2,1654.9,21,7.030138403828744
2024-09,M&M,2777.0,3094.9,21,11.44760532949226
2024-09,BAJAJ-AUTO,11126.1,12345.95,21,10.963859753192946
2024-09,SHRIRAMFIN,3225.25,3576.95,21,10.904581040229434
2024-09,HINDALCO,683.9,756.2,21,10.571721011843847
2024-09,TATASTEEL,152.88,168.55,21,10.249869178440619
2024-10,SBIN,796.95,820.2,22,2.9173724825898737
2024-10,HDFCLIFE,710.2,720.15,22,1.4010137989298692
2024-10,ICICIBANK,1274.4,1292.25,22,1.4006591337099739
2024-10,WIPRO,546.75,551.8,22,0.9236396890717795
2024-10,HDFCBANK,1726.2,1735.7,22,0.5503417912177037
2024-11,TECHM,1603.65,1747.45,14,8.967043931032329
2024-11,INFY,1760.85,1902.25,14,8.030212681375478
2024-11,HCLTECH,1757.4,1898.4,14,8.02321611471492
2024-11,M&M,2817.65,3012.95,14,6.931308004897689
2024-11,TCS,3984.2,4244.6,14,6.535816475076567
