Stock,First_Close,Last_Close,Yearly_Return_%
TRENT,2197.65,6652.8,202.72
BEL,132.4,280.85,112.12
M&M,1454.6,3012.95,107.13
BAJAJ-AUTO,5344.35,9481.65,77.41
BHARTIARTL,913.45,1569.3,71.8
POWERGRID,200.95,336.95,67.68
SUNPHARMA,1116.2,1795.3,60.84
BPCL,178.45,285.85,60.18
NTPC,232.6,365.45,57.12
TECHM,1125.1,1747.45,55.32
